threshold,baseline_type,projection,mean_mechanism,mean_null,z_score,sign_consistency,effect_size_d,verdict,verdict_material
10000,threshold_aware,VocabGini,0.23931746076961513,0.23903546176911544,1.495248070004305,0.6,0.4728389568184498,0,0
10000,threshold_aware,ThresholdDensity,2.325487618926352,2.3217905904075353,0.747997926032595,0.6,0.23653771313451546,0,0
10000,threshold_aware,TemporalConcentration,nan,nan,nan,nan,nan,?,?
10000,threshold_aware,cp_spectrum,0.04389386787934313,0.043695193208835054,2.3930186767318817,0.75,0.7567389501794927,?,?
10000,threshold_aware,L_profile,0.013855522612778868,0.013792583513331671,1.8751363908279384,0.65,0.5929701918483953,?,?
10000,threshold_aware,TailMass,0.09252891101359972,0.09239747453505923,1.2768370415563246,0.6,0.403771325218905,0,0
10000,threshold_aware,CBAD_a,0.3426428524644983,0.344146014816757,-0.9279751462367368,0.6,-0.2934515074135918,0,0
10000,threshold_aware,CBAD_c,0.2731246835050084,0.28186498358494133,-0.8581365139636363,0.55,-0.27136659274819774,0,0
10000,threshold_aware,CBAD_R2,0.9948373328200061,0.9946977505862039,0.14060957842399105,0.55,0.04446465286558807,0,0
12500,magnitude_matched,LeadingDigit,0.15532666763022637,0.15532666763022637,0.0,nan,0.0,0,0
12500,magnitude_matched,TerminalDigit,8.43204,10.752329999999999,-1.6675099448762447,0.8,-0.5273129446790754,?,?
12500,magnitude_matched,CentsEntropy,6.643007952503173,6.643069765322433,-1.9924258259628946,0.65,-0.6300603678984993,?,?
12500,magnitude_matched,DecimalResidue,0.013838999999999999,0.0131875,2.3536193389013302,0.8,0.7442797855947947,?,?
12500,magnitude_matched,VocabGini,0.24370380927628954,0.08865364654138344,524.9515539617961,1.0,166.00425717640633,+,+
12500,magnitude_matched,ThresholdDensity,2.327100464978545,0.9984656641093939,348.55492741464565,1.0,110.22274603049448,+,+
12500,magnitude_matched,TemporalConcentration,nan,nan,nan,nan,nan,?,?
12500,magnitude_matched,cp_spectrum,0.0737764204363154,0.07346578622987049,3.1323644270269138,0.7,0.9905406051093334,?,?
12500,magnitude_matched,L_profile,0.07900388981308143,0.07935119702168399,-4.132387965598612,0.85,-1.3067758146761146,+,+
12500,magnitude_matched,TailMass,0.09434243104094935,0.09469885594249972,-2.9982790640442727,0.8,-0.9481390903177761,?,?
12500,magnitude_matched,CBAD_a,0.3066571588804534,0.3077602636557361,-0.444726079121541,0.6,-0.14063473449003241,0,0
12500,magnitude_matched,CBAD_c,0.23883466827076322,0.2408818918671209,-0.19369908031538066,0.5,-0.0612530274476489,0,0
12500,magnitude_matched,CBAD_R2,0.993350447207732,0.9931953220005856,0.16606166834766659,0.6,0.05251331040261165,0,0
12500,parent_support,LeadingDigit,0.15532666763022637,0.0597856647395472,1607.4943288044897,1.0,508.3343404825801,+,+
12500,parent_support,TerminalDigit,8.43204,7.597289999999999,0.8059948174368945,0.55,0.2548779405392183,0,0
12500,parent_support,CentsEntropy,6.643007952503173,6.643174548909336,-5.935971938731418,0.95,-1.8771191453236746,+,+
12500,parent_support,DecimalResidue,0.013838999999999999,0.012327000000000001,5.380924593233262,0.9,1.7015977632232169,+,+
12500,parent_support,VocabGini,0.24370380927628954,0.04583308428285952,947.3023689551213,1.0,299.56331187713636,+,+
12500,parent_support,ThresholdDensity,2.327100464978545,1.0032973209237728,39.978739546370655,1.0,12.642387494917804,+,+
12500,parent_support,TemporalConcentration,nan,nan,nan,nan,nan,?,?
12500,parent_support,cp_spectrum,0.11654090025732729,0.08612348301214864,248.73261886038486,1.0,78.65616039773712,+,+
12500,parent_support,L_profile,0.014668111046801102,0.02420213476847947,-211.41615736030323,1.0,-66.85565914191297,+,+
12500,parent_support,TailMass,0.09434243104094935,0.11537427140364354,-185.15406251870127,1.0,-58.55085555923084,+,+
12500,parent_support,CBAD_a,0.3066571588804534,8.739638665668571e-07,198.333474136751,1.0,62.71855145262307,+,+
12500,parent_support,CBAD_c,0.23883466827076322,0.013158087305027327,33.83518839346941,1.0,10.699626038425674,+,+
12500,parent_support,CBAD_R2,0.993350447207732,0.900509368673854,20.273152629330834,1.0,6.410933766091674,+,+
12500,threshold_aware,LeadingDigit,0.15532666763022637,0.15532666763022637,0.0,nan,0.0,0,0
12500,threshold_aware,TerminalDigit,8.43204,9.165690000000001,-0.5352274420710018,0.5,-0.16925377831701946,0,0
12500,threshold_aware,CentsEntropy,6.643007952503173,6.64297477502828,0.9071825662355152,0.75,0.28687631629007904,0,0
12500,threshold_aware,DecimalResidue,0.006171499999999998,0.0056455,1.6074686181164028,0.65,0.5083262100491237,?,?
12500,threshold_aware,VocabGini,0.24370380927628954,0.243638137145142,0.3051966502174565,0.5,0.09651165489408857,0,0
12500,threshold_aware,ThresholdDensity,2.327100464978545,2.3240132681391823,0.6262171310297778,0.6,0.1980272443870201,0,0
12500,threshold_aware,TemporalConcentration,nan,nan,nan,nan,nan,?,?
12500,threshold_aware,cp_spectrum,0.03455052071263172,0.03459595404614014,-0.5778877076726702,0.55,-0.18274413880592,0,0
12500,threshold_aware,L_profile,0.23378685028085971,0.23393316082039478,-1.2314392826643077,0.65,-0.3894152933423115,0,0
12500,threshold_aware,TailMass,0.09434243104094935,0.09438888165974042,-0.36501202129801724,0.5,-0.11542693606436248,0,0
12500,threshold_aware,CBAD_a,0.3066571588804534,0.307600083117516,-0.45341432919784314,0.65,-0.14338220040225705,0,0
12500,threshold_aware,CBAD_c,0.23883466827076322,0.24332339098239258,-0.4793230696836046,0.65,-0.15157526352637943,0,0
12500,threshold_aware,CBAD_R2,0.993350447207732,0.9943331175609476,-0.9873257580117358,0.5,-0.31221981878693233,0,0
25000,magnitude_matched,LeadingDigit,0.18309083132095968,0.18309083132095968,0.0,nan,0.0,0,0
25000,magnitude_matched,TerminalDigit,9.93516,8.859420000000002,0.8477681497634678,0.6,0.26808782809992954,0,0
25000,magnitude_matched,CentsEntropy,6.643141809662611,6.64311233418471,0.9051107369093214,0.7,0.2862211463306887,0,0
25000,magnitude_matched,DecimalResidue,0.012600999999999998,0.0128825,-0.9350669194757613,0.55,-0.2956941230220665,0,0
25000,magnitude_matched,VocabGini,0.2617314565086981,0.12569051129774036,538.3527804467044,1.0,170.2420970896146,+,+
25000,magnitude_matched,ThresholdDensity,2.3298246220691126,0.9993409276216182,347.7781935871655,1.0,109.97712122744075,+,+
25000,magnitude_matched,TemporalConcentration,nan,nan,nan,nan,nan,?,?
25000,magnitude_matched,cp_spectrum,0.06861823676578895,0.06849554417870668,1.3105420818792843,0.55,0.414429794823742,0,0
25000,magnitude_matched,L_profile,0.08149797387368565,0.08165939688946025,-1.8363668420200299,0.6,-0.5807101840393897,?,?
25000,magnitude_matched,TailMass,0.09970138218923683,0.09987789545027859,-1.3290394606518652,0.65,-0.4202791795901624,0,0
25000,magnitude_matched,CBAD_a,0.3158795091426406,0.3175807175344734,-0.4169654085468934,0.6,-0.13185603965108222,0,0
25000,magnitude_matched,CBAD_c,0.18315453961785394,0.18851037320715794,-0.48904115434043877,0.6,-0.15464839172737257,0,0
25000,magnitude_matched,CBAD_R2,0.9939296392131644,0.9933518145231351,0.5598867974074117,0.55,0.1770517511664677,0,0
