mechanism,projection,digit_stratum,z_score,verdict
temporal_concat_arith,TailMass,4,19.473297373410013,+
temporal_concat_arith,LeadingDigit,5,1.0591702647322732,0
temporal_concat_arith,TerminalDigit,5,-0.7498100629290859,0
temporal_concat_arith,CentsEntropy,5,1.1526559850151752,0
temporal_concat_arith,DecimalResidue,5,-1.8067846309549136,?
temporal_concat_arith,VocabGini,5,44.06075107739739,+
temporal_concat_arith,ThresholdDensity,5,nan,?
temporal_concat_arith,TemporalConcentration,5,nan,?
temporal_concat_arith,cp_spectrum,5,121.3679963225754,+
temporal_concat_arith,L_profile,5,-54.90093248581393,+
temporal_concat_arith,TailMass,5,52.79256053381015,+
temporal_concat_arith,LeadingDigit,6,-0.7669846761828147,0
temporal_concat_arith,TerminalDigit,6,-0.13495490007465083,0
temporal_concat_arith,CentsEntropy,6,0.23113232573648929,0
temporal_concat_arith,DecimalResidue,6,-0.5531965388583686,0
temporal_concat_arith,VocabGini,6,109.25244105204047,+
temporal_concat_arith,ThresholdDensity,6,nan,?
temporal_concat_arith,TemporalConcentration,6,nan,?
temporal_concat_arith,cp_spectrum,6,401.5462961810684,+
temporal_concat_arith,L_profile,6,256.8069278659412,+
temporal_concat_arith,TailMass,6,212.57049482061944,+
sum_of_rounded,LeadingDigit,6,20.636531626332374,+
sum_of_rounded,TerminalDigit,6,150.7480596050369,+
sum_of_rounded,CentsEntropy,6,-1721.9004776140782,+
sum_of_rounded,DecimalResidue,6,298.75156314920514,+
sum_of_rounded,VocabGini,6,21.43753757352605,+
sum_of_rounded,ThresholdDensity,6,nan,?
sum_of_rounded,TemporalConcentration,6,nan,?
sum_of_rounded,cp_spectrum,6,189.04717921640827,+
sum_of_rounded,L_profile,6,-117.56349764630491,+
sum_of_rounded,TailMass,6,93.86266482045443,+
sum_of_rounded,LeadingDigit,7,137.15200300192492,+
sum_of_rounded,TerminalDigit,7,18140.94962530476,+
sum_of_rounded,CentsEntropy,7,-90218.23627389387,+
sum_of_rounded,DecimalResidue,7,1796.5527024107637,+
sum_of_rounded,VocabGini,7,519.5964854919747,+
sum_of_rounded,ThresholdDensity,7,nan,?
sum_of_rounded,TemporalConcentration,7,nan,?
sum_of_rounded,cp_spectrum,7,2145.5089201679793,+
sum_of_rounded,L_profile,7,-478.28183156039785,+
sum_of_rounded,TailMass,7,466.6591254557017,+
sum_of_divisibility,LeadingDigit,6,21.028976927372852,+
sum_of_divisibility,TerminalDigit,6,0.36964605806270057,0
sum_of_divisibility,CentsEntropy,6,-0.3302408672920749,0
sum_of_divisibility,DecimalResidue,6,0.3898149463126912,0
